Multi-Category Schedule 2,,,
Category,Family and Type,Level,IfcGUID
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,1qXS5vasH8rxQBPpPnXX0t
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,1qXS5vasH8rxQBPpPnXX0m
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,1qXS5vasH8rxQBPpPnXX0x
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,1qXS5vasH8rxQBPpPnXX74
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,1qXS5vasH8rxQBPpPnXX7f
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge: 14 kW,Level 1,1UneDb1cLEKQbrcK14azMA
Duct Systems,Duct System: Supply Air,,1UneDb1cLEKQbrcK14azBB
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az3h
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az3j
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az3m
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az3p
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az3s
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az4Q
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az4R
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az54
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az5V
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az5j
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az5k
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az5d
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az5r
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14az6z
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14azuc
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14azx9
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az_i
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az$F
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14az$a
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1UneDb1cLEKQbrcK14az$y
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1UneDb1cLEKQbrcK14azmA
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,1UneDb1cLEKQbrcK14azmR
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1UneDb1cLEKQbrcK14azmS
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,1UneDb1cLEKQbrcK14azmq
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,1UneDb1cLEKQbrcK14azn7
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14azni
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14aznx
Ducts,Rectangular Duct: Mitered Elbows / Taps,,1UneDb1cLEKQbrcK14azo2
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1UneDb1cLEKQbrcK14azog
Duct Fittings,M_Rectangular Duct Endcap: Standard,Level 1,1UneDb1cLEKQbrcK14azoY
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1UneDb1cLEKQbrcK14azon
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1UneDb1cLEKQbrcK14azoo
Duct Fittings,M_Rectangular Duct Transition - Angle: 45 Degree,Level 1,1UneDb1cLEKQbrcK14azop
Mechanical Equipment,M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Back Discharge: 7 kW,Level 1,3SXc9zpn99$hsjI8fXdJvh
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdJy0
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdJyU
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdJYa
Duct Systems,Duct System: Supply Air,,3SXc9zpn99$hsjI8fXdJcg
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdI8U
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdI9f
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdI9_
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdICA
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdICJ
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,3SXc9zpn99$hsjI8fXdIpf
Duct Fittings,M_Rectangular Duct Elbow - Mitered: Standard,Level 1,3SXc9zpn99$hsjI8fXdIpe
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdIpT
Duct Fittings,M_Rectangular Duct Takeoff: Standard,Level 1,3SXc9zpn99$hsjI8fXdImh
Ducts,Rectangular Duct: Mitered Elbows / Taps,,3SXc9zpn99$hsjI8fXdInW
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdInC
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdIsw
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdIsF
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdIsE
Air Terminals,M_Supply Diffuser - Sidewall: 450 x 200,Level 1,3SXc9zpn99$hsjI8fXdIth
